path,layer,module,kind,func_name,complexity,suggestion,line,note
src/backend/infrastructure/clients/messaging/event_bus.py,infrastructure,src.backend.services.schema_registry.registry,lazy,_validate_event,trivial,migrate-top-level,154,
src/backend/infrastructure/notifications/adapters/express.py,infrastructure,src.backend.dsl.engine.processors.express._common,lazy,send,trivial,migrate-top-level,51,
src/backend/infrastructure/observability/metrics.py,infrastructure,src.backend.dsl.engine.context,eager,,moderate,facade-needed,27,
src/backend/infrastructure/observability/metrics.py,infrastructure,src.backend.dsl.engine.exchange,eager,,moderate,facade-needed,28,
src/backend/infrastructure/observability/metrics.py,infrastructure,src.backend.dsl.engine.middleware,eager,,moderate,facade-needed,29,
src/backend/infrastructure/observability/tracing.py,infrastructure,src.backend.dsl.engine.context,eager,,moderate,facade-needed,11,
src/backend/infrastructure/observability/tracing.py,infrastructure,src.backend.dsl.engine.exchange,eager,,moderate,facade-needed,12,
src/backend/infrastructure/observability/tracing.py,infrastructure,src.backend.dsl.engine.middleware,eager,,moderate,facade-needed,13,
src/backend/infrastructure/scheduler/scheduled_tasks.py,infrastructure,src.backend.services.ai.memory.langmem_service,lazy,consolidate_idle_sessions,trivial,migrate-top-level,57,
src/backend/infrastructure/security/presidio_sanitizer.py,infrastructure,src.backend.services.ai.pii.presidio_analyzer,type_checking,,trivial,drop,32,
src/backend/infrastructure/workflow/executor/sequential_mixin.py,infrastructure,src.backend.dsl.engine.exchange,lazy,_run_processor,trivial,migrate-top-level,68,
src/backend/infrastructure/workflow/worker.py,infrastructure,src.backend.dsl.commands.setup,lazy,_bootstrap,trivial,migrate-top-level,156,
src/backend/infrastructure/workflow/worker.py,infrastructure,src.backend.dsl.routes,lazy,_bootstrap,trivial,migrate-top-level,157,
src/backend/services/admin/clickhouse_admin.py,services,src.backend.infrastructure.clients.storage.clickhouse_admin_client,eager,,moderate,facade-needed,20,
src/backend/services/ai/ai_graph.py,services,src.backend.dsl.commands.registry,lazy,_make_action_tool,trivial,migrate-top-level,60,
src/backend/services/authorization/facade.py,services,src.backend.infrastructure.clients.storage.redis,lazy,_check_cookie_session,trivial,migrate-top-level,376,
src/backend/services/cache/metrics.py,services,src.backend.infrastructure.cache.metrics_collector,eager,,moderate,facade-needed,18,
src/backend/services/cache/metrics.py,services,src.backend.infrastructure.cache.rag.metrics,eager,,moderate,facade-needed,21,
src/backend/services/codec/facade.py,services,src.backend.dsl.codec.json,lazy,_encode_json,trivial,migrate-top-level,102,
src/backend/services/core/admin.py,services,src.backend.dsl.commands.action_registry,eager,,moderate,facade-needed,13,
src/backend/services/core/admin.py,services,src.backend.dsl.commands.registry,eager,,moderate,facade-needed,14,
src/backend/services/core/tech.py,services,src.backend.dsl.codec.converters,eager,,moderate,facade-needed,19,
src/backend/services/dsl/builder_service.py,services,src.backend.dsl.commands.registry,eager,,moderate,facade-needed,20,
src/backend/services/dsl/builder_service.py,services,src.backend.dsl.engine.pipeline,type_checking,,trivial,drop,28,
src/backend/services/dsl/builder_service.py,services,src.backend.dsl.yaml_store,eager,,moderate,facade-needed,21,
src/backend/services/dsl_portal/builder_facade.py,services,src.backend.dsl.engine.dry_run,eager,,moderate,facade-needed,28,
src/backend/services/dsl_portal/builder_facade.py,services,src.backend.dsl.engine.execution_engine,eager,,moderate,facade-needed,32,
src/backend/services/dsl_portal/builder_facade.py,services,src.backend.dsl.engine.pipeline,eager,,moderate,facade-needed,33,
src/backend/services/dsl_portal/builder_facade.py,services,src.backend.dsl.engine.tracer,eager,,moderate,facade-needed,34,
src/backend/services/dsl_portal/builder_facade.py,services,src.backend.dsl.registry,eager,,moderate,facade-needed,35,
src/backend/services/dsl_portal/builder_facade.py,services,src.backend.dsl.workflow.spec,eager,,moderate,facade-needed,36,
src/backend/services/dsl_portal/builder_facade.py,services,src.backend.dsl.workflow.versioning,eager,,moderate,facade-needed,39,
src/backend/services/dsl_portal/builder_facade.py,services,src.backend.dsl.workflow.visualize,eager,,moderate,facade-needed,40,
src/backend/services/dsl_portal/builder_facade.py,services,src.backend.dsl.workflow.yaml_io,eager,,moderate,facade-needed,45,
src/backend/services/dsl_portal/builder_facade.py,services,src.backend.dsl.yaml_loader.loaders,eager,,moderate,facade-needed,50,
src/backend/services/execution/action_dispatcher.py,services,src.backend.dsl.commands.action_registry,eager,,moderate,facade-needed,35,
src/backend/services/execution/middlewares/rate_limit_middleware.py,services,src.backend.dsl.commands.action_registry,eager,,moderate,facade-needed,31,
src/backend/services/jupyter/hub_actions.py,services,src.backend.dsl.commands.action_registry,lazy,register_jupyter_hub_actions,trivial,migrate-top-level,113,
src/backend/services/messaging/kafka_facade.py,services,src.backend.infrastructure.messaging.kafka_producer,lazy,_get_producer,trivial,migrate-top-level,76,
src/backend/services/messaging/outbox_monitor.py,services,src.backend.infrastructure.messaging.outbox.stuck_monitor,eager,,moderate,facade-needed,24,
src/backend/services/ops/message_replay.py,services,src.backend.dsl.commands.registry,lazy,replay_one,trivial,migrate-top-level,114,
src/backend/services/ops/notify_actions.py,services,src.backend.dsl.commands.action_registry,type_checking,,trivial,drop,28,
src/backend/services/ops/scheduled_reports.py,services,src.backend.dsl.commands.registry,lazy,run_now,trivial,migrate-top-level,119,
src/backend/services/ops/webhook_scheduler.py,services,src.backend.dsl.engine.processors.scraping,lazy,execute_webhook,trivial,migrate-top-level,99,
src/backend/services/plugins/registries.py,services,src.backend.dsl.commands.action_registry,eager,,moderate,facade-needed,40,
src/backend/services/plugins/registries.py,services,src.backend.dsl.engine.plugin_registry,type_checking,,trivial,drop,32,
src/backend/services/plugins/registries.py,services,src.backend.dsl.engine.processors,eager,,moderate,facade-needed,41,
src/backend/services/resilience/rate_limiter.py,services,src.backend.infrastructure.resilience.unified_rate_limiter,eager,,moderate,facade-needed,17,
src/backend/services/scheduler/admin.py,services,src.backend.infrastructure.scheduler.dlq,eager,,moderate,facade-needed,17,
src/backend/services/scheduler/admin.py,services,src.backend.infrastructure.scheduler.scheduler_manager,eager,,moderate,facade-needed,21,
src/backend/services/schema_registry/populator.py,services,src.backend.dsl.commands.registry,type_checking,,trivial,drop,24,
src/backend/services/schema_registry/populator.py,services,src.backend.dsl.registry,lazy,populate_from_processor_registry,trivial,migrate-top-level,43,
src/backend/services/security/__init__.py,services,src.backend.infrastructure.security.signatures,eager,,hard,re-export-or-facade,17,
src/backend/services/security/cert_store_facade.py,services,src.backend.infrastructure.security.cert_store,lazy,__getattr__,trivial,migrate-top-level,18,
src/backend/services/security/facade.py,services,src.backend.infrastructure.clients.storage.redis,lazy,_create_jwt_blacklist,trivial,migrate-top-level,88,
src/backend/services/security/facade.py,services,src.backend.infrastructure.security.signatures,lazy,verify_signature,trivial,migrate-top-level,156,
src/backend/services/security/pii_streaming_facade.py,services,src.backend.infrastructure.security,lazy,__getattr__,trivial,migrate-top-level,18,
src/backend/services/workflow/__init__.py,services,src.backend.infrastructure.workflow.registry,eager,,hard,re-export-or-facade,17,
src/backend/services/workflows/cost_estimator.py,services,src.backend.dsl.workflow.versioning,lazy,estimate,trivial,migrate-top-level,168,
src/backend/services/workflows/hitl_pubsub.py,services,src.backend.infrastructure.clients.storage.redis,lazy,publish_hitl_resolved,trivial,migrate-top-level,85,
